cod_qc,nombre,lat,lon,altitud_oficial,dept,sector,umbral_pp,umbral_t,radio_pp,radio_t,delta_z,clase_diagnostico,area_pp_km2,radio_pp_km,n_px_pp,area_temp_km2,radio_temp_km,n_px_temp
qc00152204,EL PINTOR,-5.75619,-78.52306,523,AMAZONAS,SELVA NORTE ALTA,100,200,35,70,0.36590576171875,Consistente,877.1733,16.71,974637,2368.9611,27.46,2632179
qc00158301,QUINISTAQUILLAS,-16.77944,-70.89778,1787,MOQUEGUA,SIERRA SUR OCCIDENTAL,100,200,30,60,231.4827880859375,Discrepancia moderada,94.3983,5.482,104887,1135.6911,19.013,1261879
qc00000806,MOQUEGUA,-17.16917,-70.93167,1446,MOQUEGUA,SIERRA SUR OCCIDENTAL,100,200,30,60,7.189208984375,Consistente,335.2833,10.331,372537,1819.4175,24.065,2021575
qc00000390,JUANCITO,-6.03361,-74.86694,120,LORETO,SELVA NORTE BAJA,80,150,60,100,2.932525634765625,Consistente,11309.5296,59.999,12566144,31410.5148,99.991,34900572
qc00000281,GENARO HERRERA,-4.90571,-73.64972,124,LORETO,SELVA NORTE BAJA,80,150,60,100,1.1534881591796875,Consistente,11309.4414,59.999,12566046,31415.9175,100.0,34906575
qc00152402,BRETA�A,-5.26568,-74.35638,109,LORETO,SELVA NORTE BAJA,80,150,60,100,9.0,Consistente,11309.733,60.0,12566370,31415.9553,100.0,34906617
qc00150209,SANTA ROSA,-4.22636,-69.95629,71,LORETO,SELVA NORTE BAJA,80,150,60,100,-0.2475204467773437,Consistente,11073.9078,59.371,12304342,31415.9256,100.0,34906584
qc00158308,CALACOA,-16.735,-70.6828,3446,MOQUEGUA,SIERRA SUR OCCIDENTAL,100,200,30,60,151.9130859375,Discrepancia moderada,107.8308,5.859,119812,680.3955,14.717,755995
qc00152401,SANTA RITA DE CASTILLA,-4.61388,-74.3738,114,LORETO,SELVA NORTE BAJA,80,150,60,100,0.3554534912109375,Consistente,11309.7726,60.0,12566414,31415.8086,100.0,34906454
qc00000278,SAN RAMON,-5.93361,-76.08361,131,LORETO,SELVA NORTE BAJA,80,150,60,100,-14.114761352539062,Consistente,8921.0736,53.289,9912304,22410.4599,84.46,24900511
qc00153315,SHANUSI,-6.07139,-76.25861,154,LORETO,SELVA NORTE BAJA,80,150,60,100,-2.40081787109375,Consistente,6961.8762,47.075,7735418,18089.7975,75.883,20099775
qc00000150,MAZAN,-3.48472,-73.07944,158,LORETO,SELVA NORTE BAJA,80,150,60,100,72.0,Discrepancia leve,11308.6728,59.997,12565192,31415.8806,100.0,34906534
qc00152409,SANTA MARIA DE NANAY,-3.8894,-73.69617,89,LORETO,SELVA NORTE BAJA,80,150,60,100,0.0,Consistente,11134.0323,59.532,12371147,31415.9022,100.0,34906558
qc00150206,SANTA CRUZ,-3.50028,-73.13361,113,LORETO,SELVA NORTE BAJA,80,150,60,100,0.0512466430664062,Consistente,11309.6799,60.0,12566311,31415.9652,100.0,34906628
qc00150207,LA LIBERTAD,-3.4625,-73.24056,110,LORETO,SELVA NORTE BAJA,80,150,60,100,-0.10089111328125,Consistente,11309.7393,60.0,12566377,31415.9724,100.0,34906636
qc00152406,BAGAZAN,-4.66667,-73.89205,100,LORETO,SELVA NORTE BAJA,80,150,60,100,-20.77392578125,Consistente,11308.1355,59.996,12564595,31415.9562,100.0,34906618
qc00150205,BELLAVISTA,-3.48261,-73.63333,105,LORETO,SELVA NORTE BAJA,80,150,60,100,-45.29736328125,Consistente,11276.676,59.912,12529640,31415.8968,100.0,34906552
