cod_qc,nombre,lat,lon,altitud_oficial,altitud_dem,delta_z,clase_diagnostico,dept,fuente,sector,cod_sector,umbral_pp,umbral_t,radio_pp,radio_t
qc00152204,EL PINTOR,-5.75619,-78.52306,523,522.6340942382812,0.36590576171875,Consistente,AMAZONAS,historica,SELVA NORTE ALTA,SE_1A,100,200,35,70
qc00158301,QUINISTAQUILLAS,-16.77944,-70.89778,1787,1555.5172119140625,231.4827880859375,Discrepancia moderada,MOQUEGUA,historica,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00000806,MOQUEGUA,-17.16917,-70.93167,1446,1438.810791015625,7.189208984375,Consistente,MOQUEGUA,historica,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00000390,JUANCITO,-6.03361,-74.86694,120,117.06747436523438,2.932525634765625,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00000281,GENARO HERRERA,-4.90571,-73.64972,124,122.84651184082031,1.1534881591796875,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00152402,BRETA�A,-5.26568,-74.35638,109,100.0,9.0,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00150209,SANTA ROSA,-4.22636,-69.95629,71,71.24752044677734,-0.24752044677734375,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00158308,CALACOA,-16.735,-70.6828,3446,3294.0869140625,151.9130859375,Discrepancia moderada,MOQUEGUA,historica,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00152401,SANTA RITA DE CASTILLA,-4.61388,-74.3738,114,113.64454650878906,0.3554534912109375,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00000278,SAN RAMON,-5.93361,-76.08361,131,145.11476135253906,-14.114761352539062,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00153315,SHANUSI,-6.07139,-76.25861,154,156.40081787109375,-2.40081787109375,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00000150,MAZAN,-3.48472,-73.07944,158,86.0,72.0,Discrepancia leve,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00152409,SANTA MARIA DE NANAY,-3.8894,-73.69617,89,89.0,0.0,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00150206,SANTA CRUZ,-3.50028,-73.13361,113,112.9487533569336,0.05124664306640625,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00150207,LA LIBERTAD,-3.4625,-73.24056,110,110.10089111328125,-0.10089111328125,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00152406,BAGAZAN,-4.66667,-73.89205,100,120.77392578125,-20.77392578125,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00150205,BELLAVISTA,-3.48261,-73.63333,105,150.29736328125,-45.29736328125,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00158310,ICHU�A,-16.13261,-70.55208,3792,3891.072021484375,-99.072021484375,Discrepancia leve,MOQUEGUA,historica,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00000846,PUNTA COLES,-17.69867,-71.37361,25,17.92683219909668,7.07316780090332,Consistente,MOQUEGUA,historica,COSTA SUR,CO_3,80,150,70,120
qc00000235,MORROPON,-5.19444,-79.97111,140,128.95677185058594,11.043228149414062,Consistente,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00000255,CHULUCANAS,-5.10028,-80.16667,2283,87.18363189697266,2195.8163681030273,Sospechosa,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00150001,SAN PEDRO,-5.07917,-80.01631,245,245.22547912597656,-0.2254791259765625,Consistente,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00152127,TULUCE,-5.49139,-79.37278,1938,1901.2838134765625,36.7161865234375,Consistente,PIURA,historica,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
qc00152126,SONDORILLO,-5.33889,-79.40667,1929,1930.747314453125,-1.747314453125,Consistente,PIURA,historica,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
qc00152128,HACIENDA SHUMAYA,-5.37278,-79.35583,2064,2064.3251953125,-0.3251953125,Consistente,PIURA,historica,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
qc00000851,UBINAS,-16.37206,-70.85394,3384,3648.434814453125,-264.434814453125,Discrepancia moderada,MOQUEGUA,historica,SIERRA SUR OCCIDENTAL,SI_3OC,100,200,30,60
qc00000248,HUARMACA,-5.56586,-79.52544,2180,2168.4638671875,11.5361328125,Consistente,PIURA,historica,SIERRA NORTE OCCIDENTAL,SI_1OC,100,200,15,30
qc00152106,SAPILLICA,-4.77825,-79.98219,1451,1441.0184326171875,9.9815673828125,Consistente,PIURA,historica,SIERRA NORTE OCCIDENTAL,SI_1OC,100,200,15,30
qc00000238,SAUSAL DE CULUCAN,-4.75237,-79.75792,1015,994.2442016601562,20.75579833984375,Consistente,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00000237,AYABACA,-4.63781,-79.71081,2655,2648.099609375,6.900390625,Consistente,PIURA,historica,SIERRA NORTE OCCIDENTAL,SI_1OC,100,200,15,30
qc00000247,SAN MIGUEL,-5.30389,-80.68064,20,19.944074630737305,0.05592536926269531,Consistente,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00000207,MIRAFLORES,-5.16667,-80.6,34,40.05580139160156,-6.0558013916015625,Consistente,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00000840,ILO,-17.62694,-71.28806,108,63.47254943847656,44.52745056152344,Consistente,MOQUEGUA,historica,COSTA SUR,CO_3,80,150,70,120
qc00152132,PORCULLA,-5.83964,-79.50572,2142,2139.23828125,2.76171875,Consistente,PIURA,historica,SIERRA NORTE ORIENTAL,SI_1OR,100,200,12,25
qc00151500,FRANCISCO ORELLANA,-3.42333,-72.76667,94,93.9361343383789,0.06386566162109375,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00150204,TIMICURILLO,-3.52311,-73.08333,85,93.6419677734375,-8.6419677734375,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00150201,MANITI,-3.51972,-72.83411,125,103.72017669677734,21.279823303222656,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00155209,HUAMANTANGA,-11.5,-76.75,3392,3375.72509765625,16.27490234375,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00155202,SANTA CRUZ,-11.1901,-76.63486,3590,3556.06396484375,33.93603515625,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00000548,MATUCANA,-11.83903,-76.37803,2417,2421.281494140625,-4.281494140625,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00156100,ANTIOQUIA,-12.08333,-76.5,1839,1881.47509765625,-42.47509765625,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00155223,CARAMPOMA,-11.65503,-76.51514,3424,3438.322265625,-14.322265625,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00151213,SHEQUE,-11.66089,-76.50183,3188,3194.90380859375,-6.90380859375,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00155218,HUAROS,-11.4,-76.56667,3569,3783.448974609375,-214.448974609375,Discrepancia moderada,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00155450,YAURICOCHA,-12.33314,-75.72264,4560,4756.6357421875,-196.6357421875,Discrepancia moderada,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00156109,CARANIA,-12.34439,-75.87214,3820,3823.535888671875,-3.535888671875,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00156111,VILCA,-12.11461,-75.82619,3832,3812.0703125,19.9296875,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00156103,HUA�EC,-12.28333,-76.13333,3520,3519.61474609375,0.38525390625,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00151212,SAN PEDRO DE PILAS,-12.45,-76.21667,2730,2729.906005859375,0.093994140625,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00156106,TANTA,-12.11667,-76.01667,4323,4318.0478515625,4.9521484375,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00151210,RIO BLANCO,-11.73453,-76.25889,3497,3496.72705078125,0.27294921875,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00156104,AYAVIRI,-12.38333,-76.13333,3224,3178.6865234375,45.3134765625,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00155112,PARIACANCHA,-11.38333,-76.5,3842,4170.1708984375,-328.1708984375,Sospechosa,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00155107,PAMPA LIBRE,-10.86667,-76.96667,1922,1921.6844482421875,0.3155517578125,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00000534,LOMAS DE LACHAY,-11.36011,-77.36841,414,414.4010925292969,-0.401092529296875,Consistente,LIMA,historica,COSTA CENTRO,CO_2,80,150,60,100
qc00150208,PUNCHANA,-3.69003,-73.25406,91,91.46549224853516,-0.46549224853515625,Consistente,LORETO,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00155205,PALLAC,-11.35,-76.8,2367,2606.8505859375,-239.8505859375,Discrepancia moderada,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00155214,PIRCA,-11.23281,-76.65514,3342,3298.52783203125,43.47216796875,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00000546,DONOSO,-11.521,-77.23567,127,125.69894409179688,1.301055908203125,Consistente,LIMA,historica,COSTA CENTRO,CO_2,80,150,60,100
qc00000539,HUAYAN,-11.45281,-77.122,346,341.64910888671875,4.35089111328125,Consistente,LIMA,historica,COSTA CENTRO,CO_2,80,150,60,100
qc00000638,PACARAN,-12.86689,-76.05793,684,682.9843139648438,1.01568603515625,Consistente,LIMA,historica,COSTA CENTRO,CO_2,80,150,60,100
qc00000616,CA�ETE,-13.07475,-76.33042,113,113.47624969482422,-0.47624969482421875,Consistente,LIMA,historica,COSTA CENTRO,CO_2,80,150,60,100
qc00155217,LACHAQUI,-11.55,-76.61667,3670,3950.64453125,-280.64453125,Discrepancia moderada,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00151214,LANGA,-12.1,-76.4,2863,3065.97412109375,-202.97412109375,Discrepancia moderada,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00156102,SAN LAZARO DE ESCOMARCA,-12.18333,-76.35,3840,3827.072265625,12.927734375,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00155122,AUTISHA,-11.73808,-76.61111,2181,2233.756103515625,-52.756103515625,Discrepancia leve,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00151207,HUANCATA,-12.21667,-76.21667,2684,2921.41552734375,-237.41552734375,Discrepancia moderada,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00151205,CANCHACALLA,-11.84481,-76.53136,312,2500.82568359375,-2188.82568359375,Sospechosa,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00155213,SANTA EULALIA,-11.91803,-76.66678,945,951.0386962890625,-6.0386962890625,Consistente,LIMA,historica,COSTA CENTRO,CO_2,80,150,60,100
qc00155224,SANTIAGO DE TUNA,-11.98333,-76.51667,3263,3263.26806640625,-0.26806640625,Consistente,LIMA,historica,SIERRA CENTRAL OCCIDENTAL,SI_2OC,100,200,12,25
qc00152111,HACIENDA BIGOTE,-5.32083,-79.78569,827,206.8865966796875,620.1134033203125,Sospechosa,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00000230,LA ESPERANZA,-4.91694,-81.05736,6,11.62763786315918,-5.62763786315918,Consistente,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00152103,LANCONES,-4.56694,-80.48361,150,115.10938262939453,34.89061737060547,Consistente,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00000208,MALLARES,-4.85028,-80.73325,46,45.39476013183594,0.6052398681640625,Consistente,PIURA,historica,COSTA NORTE,CO_1,80,150,70,120
qc00153314,SAN ANTONIO,-6.41694,-76.41694,578,487.80718994140625,90.19281005859375,Discrepancia leve,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00000310,EL PORVENIR,-6.58361,-76.31694,202,233.18191528320312,-31.181915283203125,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00153320,PUCALLPA - HUIMBAYOC,-6.45278,-75.84556,160,161.32354736328125,-1.32354736328125,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00153322,PELEJO,-6.21556,-75.79,139,143.76206970214844,-4.7620697021484375,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00153319,CHAZUTA,-6.56889,-76.09833,203,183.54945373535156,19.450546264648438,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00000219,NARANJILLO,-5.82611,-77.38722,877,894.9163818359375,-17.9163818359375,Consistente,SAN MARTIN,historica,SELVA NORTE ALTA,SE_1A,100,200,35,70
qc00000385,SAUCE,-6.69194,-76.20028,611,616.5215454101562,-5.52154541015625,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00153313,PICOTA,-6.93361,-76.33361,222,213.0,9.0,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00000322,TABALOSOS,-6.41639,-76.6125,486,459.4717102050781,26.528289794921875,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00003317,PONGO DE CAYNARACHI,-6.33361,-76.30028,240,252.1206512451172,-12.120651245117188,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00000383,LAMAS,-6.42278,-76.51722,850,804.3041381835938,45.69586181640625,Consistente,SAN MARTIN,historica,SELVA NORTE ALTA,SE_1A,100,200,35,70
qc00000211,SAPOSOA,-6.90028,-76.76694,308,348.88470458984375,-40.88470458984375,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00003308,ALAO,-6.51889,-76.73,421,408.7166748046875,12.2833251953125,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00153307,SAN PABLO,-6.80944,-76.57306,272,271.93377685546875,0.06622314453125,Consistente,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00153311,CU�UMBUQUE,-6.50028,-76.50028,400,284.584716796875,115.415283203125,Discrepancia leve,SAN MARTIN,historica,SELVA NORTE BAJA,SE_1B,80,150,60,100
qc00000901,JORGE BASADRE,-18.02689,-70.25153,537,537.2914428710938,-0.29144287109375,Consistente,TACNA,historica,COSTA SUR,CO_3,80,150,70,120
qc00000807,CALANA,-17.94889,-70.18611,785,861.4172973632812,-76.41729736328125,Discrepancia leve,TACNA,historica,COSTA SUR,CO_3,80,150,70,120
qc00000875,SAMA GRANDE,-17.78394,-70.48833,534,525.5048828125,8.4951171875,Consistente,TACNA,historica,COSTA SUR,CO_3,80,150,70,120
qc00000459,EL MARONAL,-8.44999,-75.09675,176,176.2982177734375,-0.2982177734375,Consistente,UCAYALI,historica,SELVA CENTRAL BAJA,SE_2B,100,200,40,80
