cod_qc,radio_est_pp_km,radio_est_temp_km,n_vecinas_con_r,n_vecinas_r_080,inhomogeneidad,dm_estado
qc00000132,0.0,0.0,2,0,False,pocas_vecinas
qc00000135,70.0,70.0,1,0,False,pocas_vecinas
qc00000150,60.0,60.0,0,0,False,pocas_vecinas
qc00000207,0.0,0.0,3,0,False,pocas_vecinas
qc00000208,0.0,0.0,2,0,False,pocas_vecinas
qc00000211,30.59,30.59,3,1,False,pocas_vecinas
qc00000219,0.0,0.0,2,0,False,pocas_vecinas
qc00000230,0.0,0.0,2,0,False,pocas_vecinas
qc00000231,0.0,0.0,3,0,False,pocas_vecinas
qc00000235,70.0,70.0,1,0,False,pocas_vecinas
qc00000240,12.0,12.0,1,0,False,pocas_vecinas
qc00000241,12.0,12.0,0,0,False,pocas_vecinas
qc00000247,0.0,0.0,4,0,False,pocas_vecinas
qc00000248,0.0,0.0,3,0,False,pocas_vecinas
qc00000250,12.0,12.0,1,0,False,pocas_vecinas
qc00000255,70.0,70.0,0,0,False,pocas_vecinas
qc00000260,12.0,12.0,0,0,False,pocas_vecinas
qc00000278,0.0,0.0,4,0,False,pocas_vecinas
qc00000281,60.0,60.0,0,0,False,pocas_vecinas
qc00000301,70.0,70.0,1,0,False,pocas_vecinas
qc00000304,0.0,0.0,2,0,False,pocas_vecinas
qc00000310,60.0,60.0,1,0,False,pocas_vecinas
qc00000320,70.0,70.0,1,0,False,pocas_vecinas
qc00000322,32.76,32.76,4,2,True,evaluado
qc00000325,70.0,70.0,1,0,False,pocas_vecinas
qc00000332,0.0,0.0,2,0,False,pocas_vecinas
qc00000333,70.0,70.0,1,0,False,pocas_vecinas
qc00000340,70.0,70.0,0,0,False,pocas_vecinas
qc00000341,15.0,15.0,0,0,False,pocas_vecinas
qc00000349,12.0,12.0,1,0,False,pocas_vecinas
qc00000352,12.0,12.0,0,0,False,pocas_vecinas
qc00000353,12.0,12.0,0,0,False,pocas_vecinas
qc00000369,15.0,15.0,1,0,False,pocas_vecinas
qc00000370,12.0,12.0,0,0,False,pocas_vecinas
qc00000373,12.0,12.0,0,0,False,pocas_vecinas
qc00000374,12.0,12.0,0,0,False,pocas_vecinas
qc00000383,0.0,0.0,2,0,False,pocas_vecinas
qc00000385,60.0,60.0,1,0,False,pocas_vecinas
qc00000390,60.0,60.0,0,0,False,pocas_vecinas
qc00000393,15.0,15.0,1,0,False,pocas_vecinas
qc00000395,15.0,15.0,0,0,False,pocas_vecinas
qc00000404,30.0,30.0,1,0,False,pocas_vecinas
qc00000435,60.0,60.0,0,0,False,pocas_vecinas
qc00000441,12.0,12.0,0,0,False,pocas_vecinas
qc00000457,30.0,30.0,1,0,False,pocas_vecinas
qc00000459,40.0,40.0,0,0,False,pocas_vecinas
qc00000468,35.0,35.0,0,0,False,pocas_vecinas
qc00000469,35.0,35.0,0,0,False,pocas_vecinas
qc00000477,10.0,10.0,0,0,False,pocas_vecinas
qc00000501,0.0,0.0,2,0,False,pocas_vecinas
qc00000503,10.0,10.0,0,0,False,pocas_vecinas
qc00000534,0.0,0.0,2,0,False,pocas_vecinas
qc00000536,0.0,0.0,3,0,False,pocas_vecinas
qc00000539,60.0,60.0,1,0,False,pocas_vecinas
qc00000541,12.0,12.0,1,0,False,pocas_vecinas
qc00000542,12.0,12.0,0,0,False,pocas_vecinas
qc00000543,60.0,60.0,0,0,False,pocas_vecinas
qc00000546,60.0,60.0,0,0,False,pocas_vecinas
