cod_qc_obj,nombre_obj,dept_obj,sector_obj,cod_qc_vecina,nombre_vecina,dept_vecina,sector_vecina,dist_km,dz_par,mismo_sector,misma_region,r_pp,p_pp,r_temp,altitud_vec,inhomogeneidad_obj
qc00152204,EL PINTOR,AMAZONAS,SELVA NORTE ALTA,qc00152210,MAGUNCHAL,AMAZONAS,SELVA NORTE ALTA,40.424,109.0,True,True,0.7947,0.0,,632.0,False
qc00152204,EL PINTOR,AMAZONAS,SELVA NORTE ALTA,qc00221501,LOS NARANJOS,AMAZONAS,SELVA NORTE ALTA,10.273,96.0,True,True,,,,427.0,False
qc00152204,EL PINTOR,AMAZONAS,SELVA NORTE ALTA,qc00105068,BAGUA CHICA,AMAZONAS,SELVA NORTE ALTA,10.686,126.0,True,True,,,,397.0,False
qc00152204,EL PINTOR,AMAZONAS,SELVA NORTE ALTA,qc472B607A,CORRAL QUEMADO,AMAZONAS,SELVA NORTE ALTA,18.98,96.0,True,True,,,,427.0,False
qc00152204,EL PINTOR,AMAZONAS,SELVA NORTE ALTA,qc00220907,NARANJITO,AMAZONAS,SELVA NORTE ALTA,28.624,23.0,True,True,,,,500.0,False
qc00152204,EL PINTOR,AMAZONAS,SELVA NORTE ALTA,qc00105046,MAGUNCHAL,AMAZONAS,SELVA NORTE ALTA,40.372,109.0,True,True,,,,632.0,False
qc00158301,QUINISTAQUILLAS,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00000806,MOQUEGUA,MOQUEGUA,SIERRA SUR OCCIDENTAL,43.287,341.0,True,True,0.1965,1e-06,,1446.0,False
qc00158301,QUINISTAQUILLAS,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00116049,QUINISTAQUILLAS,MOQUEGUA,SIERRA SUR OCCIDENTAL,3.875,0.0,True,True,,,,1787.0,False
qc00158301,QUINISTAQUILLAS,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00116023,OMATE,MOQUEGUA,SIERRA SUR OCCIDENTAL,14.434,317.0,True,True,,,,2104.0,False
qc00158301,QUINISTAQUILLAS,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00100150,YACANGO,MOQUEGUA,SIERRA SUR OCCIDENTAL,34.615,266.0,True,True,,,,2053.0,False
qc00158301,QUINISTAQUILLAS,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00117031,TUMILACA,MOQUEGUA,SIERRA SUR OCCIDENTAL,39.087,142.0,True,True,,,,1929.0,False
qc00158301,QUINISTAQUILLAS,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00204804,TUMILACA,MOQUEGUA,SIERRA SUR OCCIDENTAL,39.161,142.0,True,True,,,,1929.0,False
qc00000806,MOQUEGUA,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00158301,QUINISTAQUILLAS,MOQUEGUA,SIERRA SUR OCCIDENTAL,43.287,341.0,True,True,0.1965,1e-06,,1787.0,False
qc00000806,MOQUEGUA,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc4723F1BE,MOQUEGUA,MOQUEGUA,SIERRA SUR OCCIDENTAL,1.065,0.0,True,True,,,,1446.0,False
qc00000806,MOQUEGUA,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00117002,MOQUEGUA,MOQUEGUA,SIERRA SUR OCCIDENTAL,1.066,0.0,True,True,,,,1446.0,False
qc00000806,MOQUEGUA,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00116049,QUINISTAQUILLAS,MOQUEGUA,SIERRA SUR OCCIDENTAL,46.769,341.0,True,True,,,,1787.0,False
qc00000806,MOQUEGUA,MOQUEGUA,SIERRA SUR OCCIDENTAL,qc00117016,ILABAYA,TACNA,SIERRA SUR OCCIDENTAL,52.351,72.0,True,True,,,,1374.0,False
qc00000390,JUANCITO,LORETO,SELVA NORTE BAJA,qc00105091,TAMANCO,LORETO,SELVA NORTE BAJA,69.646,16.0,True,True,,,,104.0,False
