estacion,cod,cod_qc,cod_ho,lat,lon,altitud,departamento
EL PINTOR,152204,qc00152204,ho00152204,-5.75619,-78.52306,521,AMAZONAS
MAGUNCHAL,152210,qc00152210,ho00152210,-5.89106,-78.18886,632,AMAZONAS
OCROS,155105,qc00155105,ho00155105,-10.4,-77.4,3249,ANCASH
RECUAY,441,qc00000441,ho00000441,-9.72919,-77.45365,3431,ANCASH
MAYORARCA,150903,qc00150903,ho00150903,-10.15775,-77.43222,3335,ANCASH
SIHUAS,154111,qc00154111,ho00154111,-8.56667,-77.65,2716,ANCASH
BUENA VISTA,435,qc00000435,ho00000435,-9.43375,-78.20821,216,ANCASH
PIRA,154110,qc00154110,ho00154110,-9.58528,-77.70719,3625,ANCASH
CHACCHAN,154107,qc00154107,ho00154107,-9.53547,-77.77558,2266,ANCASH
MILPO,150902,qc00150902,ho00150902,-9.88333,-77.23333,4413,ANCASH
CURAHUASI,677,qc00000677,ho00000677,-13.55222,-72.73472,2737,APURIMAC
MADRIGAL,157317,qc00157317,ho00157317,-15.60999,-71.80654,3273,AREQUIPA
IMATA,765,qc00000765,ho00000765,-15.83639,-71.0875,4475,AREQUIPA
PILLONES,158208,qc00158208,ho00158208,-15.97861,-71.21333,4426,AREQUIPA
SIBAYO,755,qc00000755,ho00000755,-15.49428,-71.46378,3809,AREQUIPA
YANAQUIHUA,864,qc00000864,ho00000864,-15.78306,-72.88278,2996,AREQUIPA
PULLHUAY (AYAHUASI),157309,qc00157309,ho00157309,-15.13583,-72.75278,3113,AREQUIPA
COTAHUASI,749,qc00000749,ho00000749,-15.21134,-72.89331,2683,AREQUIPA
PAMPA BLANCA,837,qc00000837,ho00000837,-17.07147,-71.72454,100,AREQUIPA
SALAMANCA,801,qc00000801,ho00000801,-15.5,-72.83333,3203,AREQUIPA
MACHAHUAY,7308,qc00007308,ho00007308,-15.64528,-72.50222,3101,AREQUIPA
CHOCO,157314,qc00157314,ho00157314,-15.57497,-72.12932,2449,AREQUIPA
CHACHAS,157312,qc00157312,ho00157312,-15.49861,-72.26694,3071,AREQUIPA
AYO,157313,qc00157313,ho00157313,-15.67917,-72.27028,1941,AREQUIPA
ANDAHUA,157310,qc00157310,ho00157310,-15.49333,-72.34889,3562,AREQUIPA
APLAO,833,qc00000833,ho00000833,-16.06917,-72.49028,618,AREQUIPA
PUNTA ATICO,830,qc00000830,ho00000830,-16.22833,-73.69417,20,AREQUIPA
CARAVELI,746,qc00000746,ho00000746,-15.77571,-73.36261,1755,AREQUIPA
LA JOYA,804,qc00000804,ho00000804,-16.58363,-71.92479,1292,AREQUIPA
PAMPA DE MAJES,805,qc00000805,ho00000805,-16.33565,-72.15266,1434,AREQUIPA
HUAMBO,157315,qc00157315,ho00157315,-15.73203,-72.10689,3312,AREQUIPA
LA ANGOSTURA,754,qc00000754,ho00000754,-15.18255,-71.63457,4256,AREQUIPA
CHIVAY,758,qc00000758,ho00000758,-15.64164,-71.60173,3644,AREQUIPA
ORCOPAMPA,157311,qc00157311,ho00157311,-15.26056,-72.33861,3804,AREQUIPA
EL FRAYLE,849,qc00000849,ho00000849,-16.15476,-71.1891,4119,AREQUIPA
CHIGUATA,847,qc00000847,ho00000847,-16.40645,-71.40939,2902,AREQUIPA
LAS SALINAS,158209,qc00158209,ho00158209,-16.31778,-71.14806,4322,AREQUIPA
LA PAMPILLA,839,qc00000839,ho00000839,-16.40506,-71.52334,2400,AREQUIPA
CHICHAS,157300,qc00157300,ho00157300,-15.54813,-72.91832,2170,AREQUIPA
PORPERA,157329,qc00157329,ho00157329,-15.35,-71.31667,4394,AREQUIPA
PUQUIO,736,qc00000736,ho00000736,-14.69889,-74.13111,3168,AYACUCHO
CORACORA,743,qc00000743,ho00000743,-15.01139,-73.77917,3172,AYACUCHO
LAMPA,157223,qc00157223,ho00157223,-15.18361,-73.35028,2790,AYACUCHO
VILCASHUAMAN,156211,qc00156211,ho00156211,-13.64833,-73.93444,3522,AYACUCHO
CHILCAYOC,156212,qc00156212,ho00156212,-13.8825,-73.72639,3400,AYACUCHO
PAUZA,745,qc00000745,ho00000745,-15.27528,-73.34111,2477,AYACUCHO
LUCANAS,157206,qc00157206,ho00157206,-14.62,-74.22,3354,AYACUCHO
HUAC-HUAS,151602,qc00151602,ho00151602,-14.13194,-74.94056,3185,AYACUCHO
LLAUTA,157200,qc00157200,ho00157200,-14.24639,-74.92556,2723,AYACUCHO
CUTERVO,352,qc00000352,ho00000352,-6.37833,-78.81556,2668,CAJAMARCA
